成交日期,成交时间,证券代码,证券名称,操作,成交数量,成交编号,成交均价,成交金额,余额,发生金额,手续费,印花税,其他杂费,本次金额,合同编号,市场名称,交易市场,
20260519,17:00:01,002407,多氟多,卖出,0,1494,37.180,20.000,100.00,20.000,0.000,0.000,0.000,58105.770,0,深圳Ａ股,深圳Ａ股,
20260519,14:41:00,000796,凯撒旅业,买入,800,0102000077702973,4.740,3792.000,1600.00,-3797.000,5.000,0.000,0.000,58085.770,22830,深圳Ａ股,深圳Ａ股,
20260519,13:20:01,002407,多氟多,买入,100,0102000057602227,37.240,3724.000,100.00,-3729.000,5.000,0.000,0.000,61882.770,17820,深圳Ａ股,深圳Ａ股,
20260519,10:14:44,603533,掌阅科技,卖出,-200,27258441,26.560,5312.000,0.00,5304.290,5.000,2.660,0.050,65611.770,10716,上海Ａ股,上海Ａ股,
20260519,10:12:41,002448,中原内配,买入,200,0103000032218691,14.170,2834.000,400.00,-2839.000,5.000,0.000,0.000,60307.480,10449,深圳Ａ股,深圳Ａ股,
20260519,09:41:22,002202,金风科技,买入,200,0104000012500428,25.410,5082.000,400.00,-5087.000,5.000,0.000,0.000,63146.480,5206,深圳Ａ股,深圳Ａ股,
20260518,10:02:16,600857,宁波中百,卖出,-200,24063134,14.450,2890.000,0.00,2883.520,5.000,1.450,0.030,68233.480,9100,上海Ａ股,上海Ａ股,
20260515,09:58:00,600857,宁波中百,买入,200,24292074,14.120,2824.000,200.00,-2829.030,5.000,0.000,0.030,65349.960,8891,上海Ａ股,上海Ａ股,
20260515,09:54:04,603690,至纯科技,卖出,-200,22156258,28.980,5796.000,0.00,5788.040,5.000,2.900,0.060,68178.990,8422,上海Ａ股,上海Ａ股,
20260514,11:24:38,603533,掌阅科技,买入,100,53829890,24.800,2480.000,200.00,-2485.020,5.000,0.000,0.020,62390.950,18863,上海Ａ股,上海Ａ股,
20260514,09:38:04,603331,百达精工,卖出,-300,10762327,15.680,4704.000,0.00,4696.600,5.000,2.350,0.050,64875.970,5536,上海Ａ股,上海Ａ股,
20260514,09:25:01,603690,至纯科技,买入,200,439625,27.520,5504.000,200.00,-5509.060,5.000,0.000,0.060,60179.370,943,上海Ａ股,上海Ａ股,
20260513,14:05:27,301157,华塑科技,卖出,-100,0101000073475846,81.970,8197.000,0.00,8187.900,5.000,4.100,0.000,65688.430,25585,深圳Ａ股,深圳Ａ股,
20260513,09:30:17,301281,科源制药,买入,100,0105000001925160,41.080,4108.000,100.00,-4113.000,5.000,0.000,0.000,57500.530,1089,深圳Ａ股,深圳Ａ股,
20260513,09:30:16,603331,百达精工,卖出,-300,828826,16.010,4803.000,300.00,4795.550,5.000,2.400,0.050,61613.530,1671,上海Ａ股,上海Ａ股,
20260512,14:10:34,301157,华塑科技,买入,100,0105000079209787,77.150,7715.000,100.00,-7720.000,5.000,0.000,0.000,56817.980,22094,深圳Ａ股,深圳Ａ股,
20260512,11:23:37,300133,华策影视,卖出,-500,0105000057587255,9.340,4670.000,0.00,4662.660,5.000,2.340,0.000,64537.980,16888,深圳Ａ股,深圳Ａ股,
20260512,11:23:23,300444,双杰电气,卖出,-300,0101000055662414,17.630,5289.000,0.00,5281.360,5.000,2.640,0.000,59875.320,16869,深圳Ａ股,深圳Ａ股,
20260512,11:20:35,600246,万通发展,卖出,-300,49763952,13.090,3927.000,0.00,3920.000,5.000,1.960,0.040,54593.960,16641,上海Ａ股,上海Ａ股,
20260512,11:13:57,603039,泛微网络,买入,100,48285600,48.430,4843.000,100.00,-4848.050,5.000,0.000,0.050,50673.960,7545,上海Ａ股,上海Ａ股,
20260511,14:39:44,002202,金风科技,买入,200,0103000089876117,28.070,5614.000,200.00,-5619.000,5.000,0.000,0.000,55522.010,24917,深圳Ａ股,深圳Ａ股,
20260511,14:33:38,002342,巨力索具,卖出,-100,0102000085636377,22.380,2238.000,0.00,2231.880,5.000,1.120,0.000,61141.010,24426,深圳Ａ股,深圳Ａ股,
20260511,14:30:42,920050,爱舍伦,卖出,-200,01790559,34.410,6882.000,0.00,6877.400,1.100,3.440,0.060,58909.130,24081,三板A/京A,三板A/京A,
20260511,09:25:00,600246,万通发展,买入,300,6998,12.660,3798.000,300.00,-3803.040,5.000,0.000,0.040,52031.730,1127,上海Ａ股,上海Ａ股,
20260508,13:09:25,002448,中原内配,买入,200,0103000058497643,16.160,3232.000,200.00,-3237.000,5.000,0.000,0.000,55834.770,17745,深圳Ａ股,深圳Ａ股,
20260508,09:42:15,002716,湖南白银,卖出,-400,0104000014665127,12.590,5036.000,0.00,5028.480,5.000,2.520,0.000,59071.770,5636,深圳Ａ股,深圳Ａ股,
20260508,09:39:01,002342,巨力索具,买入,100,0104000012037638,21.910,2191.000,100.00,-2196.000,5.000,0.000,0.000,54043.290,4709,深圳Ａ股,深圳Ａ股,
20260507,13:42:33,300133,华策影视,买入,500,0105000065147783,9.250,4625.000,500.00,-4630.000,5.000,0.000,0.000,56233.340,21671,深圳Ａ股,深圳Ａ股,
20260507,13:00:13,002317,众生药业,卖出,-400,0103000055014111,19.750,7900.000,0.00,7891.050,5.000,3.950,0.000,60863.340,17877,深圳Ａ股,深圳Ａ股,
20260507,09:42:42,600699,均胜电子,卖出,-200,13309888,29.260,5852.000,0.00,5844.010,5.000,2.930,0.060,52972.290,6625,上海Ａ股,上海Ａ股,
20260506,10:03:02,300444,双杰电气,买入,300,0101000028481715,16.480,4944.000,300.00,-4949.000,5.000,0.000,0.000,47126.480,9592,深圳Ａ股,深圳Ａ股,
20260506,09:54:47,300017,网宿科技,卖出,-300,0104000025400973,17.070,5121.000,0.00,5113.440,5.000,2.560,0.000,52075.480,8431,深圳Ａ股,深圳Ａ股,
20260430,11:07:32,603331,百达精工,买入,300,43820213,13.960,4188.000,600.00,-4193.040,5.000,0.000,0.040,46960.970,13461,上海Ａ股,上海Ａ股,
20260429,14:43:04,600699,均胜电子,买入,200,65150992,28.410,5682.000,200.00,-5687.060,5.000,0.000,0.060,51150.200,21032,上海Ａ股,上海Ａ股,
