成交日期,成交时间,证券代码,证券名称,操作,成交数量,成交编号,成交均价,成交金额,余额,发生金额,手续费,印花税,其他杂费,本次金额,合同编号,市场名称,交易市场,
20260129,09:25:00,301313,凡拓数创,买入,300,0103000001123584,32.520,9756.000,300.00,-9761.000,5.000,0.000,0.000,45092.450,771,深圳Ａ股,深圳Ａ股,
20260128,09:30:39,002141,贤丰控股,买入,1500,0103000002877532,4.010,6015.000,1500.00,-6020.000,5.000,0.000,0.000,54851.630,685,深圳Ａ股,深圳Ａ股,
20260127,11:16:17,002185,华天科技,卖出,-300,0102000060762786,13.960,4188.000,0.00,4180.910,5.000,2.090,0.000,60869.590,16750,深圳Ａ股,深圳Ａ股,
20260127,09:44:58,688166,博瑞医药,买入,200,15166136,48.200,9640.000,400.00,-9645.100,5.000,0.000,0.100,56688.680,3825,上海Ａ股,上海Ａ股,
20260127,09:32:29,002317,众生药业,买入,200,0102000006129315,21.730,4346.000,400.00,-4351.000,5.000,0.000,0.000,66333.780,2286,深圳Ａ股,深圳Ａ股,
20260126,14:32:28,002185,华天科技,买入,300,0102000094659066,13.390,4017.000,300.00,-4022.000,5.000,0.000,0.000,70682.550,25333,深圳Ａ股,深圳Ａ股,
20260126,14:31:57,002317,众生药业,卖出,-200,0104000092361364,23.040,4608.000,200.00,4600.700,5.000,2.300,0.000,74704.550,25309,深圳Ａ股,深圳Ａ股,
20260126,10:55:02,603214,爱婴室,买入,300,50575394,17.970,5391.000,300.00,-5396.050,5.000,0.000,0.050,70103.850,17599,上海Ａ股,上海Ａ股,
20260126,10:03:54,600776,东方通信,卖出,-300,30648177,19.170,5751.000,0.00,5743.060,5.000,2.880,0.060,75499.900,12015,上海Ａ股,上海Ａ股,
20260126,09:40:18,300063,天龙集团,卖出,-400,0102000016672433,14.310,5724.000,0.00,5716.130,5.000,2.870,0.000,69756.840,6872,深圳Ａ股,深圳Ａ股,
20260123,09:31:21,300063,天龙集团,买入,400,0101000004028195,13.880,5552.000,400.00,-5557.000,5.000,0.000,0.000,64038.400,1596,深圳Ａ股,深圳Ａ股,
20260123,09:30:34,600776,东方通信,买入,300,1249985,19.010,5703.000,300.00,-5708.060,5.000,0.000,0.060,69595.400,1676,上海Ａ股,上海Ａ股,
20260122,15:00:00,000890,法尔胜,买入,1000,0105000082207460,5.460,5460.000,1000.00,-5465.000,5.000,0.000,0.000,27302.790,25450,深圳Ａ股,深圳Ａ股,
20260114,15:00:00,002317,众生药业,买入,400,0101000117293240,21.560,8624.000,400.00,-8629.000,5.000,0.000,0.000,32767.790,34762,深圳Ａ股,深圳Ａ股,
20260114,14:09:33,002369,卓翼科技,卖出,-1000,0101000099742065,9.000,9000.000,0.00,8990.500,5.000,4.500,0.000,41396.790,30263,深圳Ａ股,深圳Ａ股,
20260107,13:21:32,002369,卓翼科技,买入,1000,0105000060334580,8.870,8870.000,1000.00,-8875.000,5.000,0.000,0.000,32406.290,18834,深圳Ａ股,深圳Ａ股,
20260105,10:22:22,688166,博瑞医药,卖出,-200,26525198,52.360,10472.000,200.00,10461.660,5.000,5.240,0.100,41281.290,9039,上海Ａ股,上海Ａ股,
20251222,13:21:35,603300,海南华铁,卖出,-700,36773432,7.770,5439.000,0.00,5431.220,5.000,2.730,0.050,30800.580,16164,上海Ａ股,上海Ａ股,
20251222,10:04:06,603300,海南华铁,卖出,-600,17401025,7.640,4584.000,700.00,4576.660,5.000,2.290,0.050,25369.360,8924,上海Ａ股,上海Ａ股,
20251222,09:52:43,603300,海南华铁,卖出,-1000,13631759,7.410,7410.000,1300.00,7401.220,5.000,3.710,0.070,20792.700,7272,上海Ａ股,上海Ａ股,
20251218,09:49:16,603300,海南华铁,买入,1000,10521711,6.840,6840.000,2300.00,-6845.070,5.000,0.000,0.070,13382.180,5178,上海Ａ股,上海Ａ股,
20251216,13:18:23,688166,博瑞医药,买入,200,38583906,48.660,9732.000,400.00,-9737.100,5.000,0.000,0.100,20225.480,13589,上海Ａ股,上海Ａ股,
20251114,09:48:59,002828,贝肯能源,卖出,-400,0102000016764122,12.260,4904.000,0.00,4896.550,5.000,2.450,0.000,29949.230,6876,深圳Ａ股,深圳Ａ股,
20251114,09:25:00,688166,博瑞医药,买入,200,333860,55.540,11108.000,200.00,-11113.110,5.000,0.000,0.110,25052.680,207,上海Ａ股,上海Ａ股,
20251113,09:30:03,002828,贝肯能源,买入,400,0104000001401067,11.710,4684.000,400.00,-4689.000,5.000,0.000,0.000,36162.840,907,深圳Ａ股,深圳Ａ股,
20251106,13:00:12,603300,海南华铁,买入,1300,38344845,7.830,10179.000,1300.00,-10184.100,5.000,0.000,0.100,40841.740,13173,上海Ａ股,上海Ａ股,
20251016,10:04:27,002658,雪迪龙,卖出,-1000,0102000020575728,8.240,8240.000,0.00,8230.880,5.000,4.120,0.000,50992.540,6531,深圳Ａ股,深圳Ａ股,
20251010,13:17:15,002658,雪迪龙,买入,1000,0104000049690844,8.160,8160.000,1000.00,-8165.000,5.000,0.000,0.000,42761.660,11212,深圳Ａ股,深圳Ａ股,
